R246 神奈川県・松田-山北-小山町（県境）,00dc143c
,3520.8805,13908.7846
,3520.8869,13908.7253
,3520.8927,13908.6941
,3520.8954,13908.6826
,3520.9120,13908.6292
,3520.9332,13908.5452
,3520.9407,13908.5089
,3520.9419,13908.4971
,3520.9413,13908.4801
,3520.9363,13908.4326
,3520.9359,13908.4128
,3520.9355,13908.3920
,3520.9370,13908.3730
,3520.9394,13908.3563
,3520.9497,13908.3185
,3520.9656,13908.2602
,3520.9889,13908.1733
,3521.0055,13908.1081
,3521.0099,13908.0829
,3521.0155,13908.0493
,3521.0304,13907.9164
,3521.0484,13907.7527
,3521.0609,13907.6488
,3521.0767,13907.5033
,3521.0892,13907.4505
,3521.1861,13907.1169
,3521.2487,13906.8970
,3521.2922,13906.7453
,3521.3084,13906.6953
,3521.3214,13906.6663
,3521.3460,13906.6186
,3521.3631,13906.5884
,3521.5283,13906.3789
,3521.7116,13906.1468
,3521.7676,13906.0751
,3521.7890,13906.0388
,3521.8038,13906.0042
,3521.8130,13905.9706
,3521.8181,13905.9410
,3521.8205,13905.9058
,3521.8195,13905.8803
,3521.8098,13905.8064
,3521.8001,13905.7467
,3521.7926,13905.6672
,3521.7875,13905.6274
,3521.7788,13905.6013
,3521.7657,13905.5814
,3521.6874,13905.4984
,3521.6657,13905.4672
,3521.6517,13905.4393
,3521.6411,13905.4149
,3521.6328,13905.3893
,3521.6247,13905.3575
,3521.6215,13905.3348
,3521.6201,13905.3135
,3521.6157,13905.2337
,3521.6120,13905.1858
,3521.6088,13905.1578
,3521.6039,13905.1330
,3521.5677,13905.0269
,3521.5610,13905.0028
,3521.5544,13904.9770
,3521.5483,13904.9447
,3521.5454,13904.9163
,3521.5492,13904.7922
,3521.5529,13904.7556
,3521.5518,13904.7118
,3521.5487,13904.6617
,3521.5367,13904.5915
,3521.5214,13904.5303
,3521.5125,13904.4949
,3521.5077,13904.4569
,3521.5025,13904.3185
,3521.4989,13904.2419
,3521.4794,13904.0636
,3521.4771,13904.0360
,3521.4780,13904.0245
,3521.4803,13904.0122
,3521.4852,13903.9982
,3521.4956,13903.9733
,3521.5028,13903.9449
,3521.5045,13903.9363
,3521.5055,13903.9210
,3521.5058,13903.9095
,3521.5058,13903.8988
,3521.4947,13903.8278
,3521.4926,13903.8156
,3521.4912,13903.8043
,3521.4909,13903.7874
,3521.4927,13903.7567
,3521.4968,13903.7228
,3521.5031,13903.6851
,3521.5095,13903.6558
,3521.5164,13903.6312
,3521.5242,13903.6066
,3521.5320,13903.5849
,3521.5350,13903.5762
,3521.5507,13903.5461
,3521.5835,13903.4993
,3521.5923,13903.4846
,3521.6026,13903.4606
,3521.6070,13903.4408
,3521.6112,13903.4146
,3521.6094,13903.3684
,3521.6067,13903.3327
,3521.6036,13903.3018
,3521.6015,13903.2717
,3521.6024,13903.2472
,3521.6051,13903.2202
,3521.6078,13903.1986
,3521.6115,13903.1801
,3521.6166,13903.1611
,3521.6372,13903.0981
,3521.6762,13902.9820
,3521.6804,13902.9664
,3521.6832,13902.9512
,3521.6841,13902.9352
