R246 御殿場-小山町,00dc143c
,3518.4854,13855.5126
,3518.5899,13855.5639
,3518.6253,13855.5799
,3518.6701,13855.6047
,3518.7686,13855.6524
,3518.8761,13855.7077
,3518.9553,13855.7462
,3519.0112,13855.7691
,3519.0836,13855.7960
,3519.1976,13855.8242
,3519.2682,13855.8406
,3519.4299,13855.8814
,3519.5061,13855.9010
,3519.5658,13855.9056
,3519.6590,13855.8926
,3519.6939,13855.8908
,3519.7385,13855.9044
,3519.8829,13855.9764
,3520.0382,13856.0524
,3520.1343,13856.0974
,3520.1819,13856.1261
,3520.2164,13856.1580
,3520.2364,13856.1867
,3520.2543,13856.2426
,3520.2776,13856.3236
,3520.3382,13856.5071
,3520.3883,13856.6573
,3520.4084,13856.7124
,3520.4295,13856.7433
,3520.4607,13856.7729
,3520.6197,13856.8912
,3520.6887,13856.9413
,3520.7259,13856.9655
,3520.7426,13856.9727
,3520.8172,13856.9887
,3520.8532,13856.9955
,3520.8892,13857.0133
,3520.9245,13857.0378
,3520.9932,13857.0925
,3521.0600,13857.1457
,3521.0994,13857.1821
,3521.1250,13857.2021
,3521.1925,13857.2325
,3521.2315,13857.2518
,3521.2510,13857.2739
,3521.2623,13857.3088
,3521.2578,13857.3824
,3521.2705,13857.4155
,3521.2863,13857.4358
,3521.3208,13857.4523
,3521.3109,13857.4497
,3521.3083,13857.4597
,3521.2902,13857.4527
,3521.2731,13857.4385
,3521.2626,13857.4225
,3521.2532,13857.4013
,3521.2503,13857.3851
,3521.2515,13857.3202
,3521.2499,13857.2983
,3521.2446,13857.2878
,3521.2365,13857.2719
,3521.2263,13857.2629
,3521.1601,13857.2340
,3521.1321,13857.2206
,3521.0841,13857.1822
,3521.0220,13857.1339
,3520.9602,13857.0816
,3520.9249,13857.0532
,3520.8794,13857.0258
,3520.8184,13857.0034
,3520.7258,13856.9835
,3520.7051,13856.9740
,3520.6348,13856.9227
,3520.4739,13856.7992
,3520.4337,13856.7708
,3520.4097,13856.7399
,3520.3874,13856.6986
,3520.3236,13856.5023
,3520.2695,13856.3290
,3520.2390,13856.2338
,3520.2191,13856.1870
,3520.2012,13856.1636
,3520.1842,13856.1457
,3520.1679,13856.1327
,3520.0027,13856.0503
,3519.8718,13855.9875
,3519.7650,13855.9332
,3519.7215,13855.9158
,3519.6914,13855.9088
,3519.6630,13855.9073
,3519.5679,13855.9228
,3519.5443,13855.9213
,3519.5147,13855.9183
,3519.3537,13855.8799
,3519.1781,13855.8351
,3519.0932,13855.8139
,3519.0302,13855.7946
,3518.9680,13855.7686
,3518.8794,13855.7248
,3518.7660,13855.6660
,3518.6698,13855.6176
,3518.4843,13855.5306
