R246 静岡県駿東郡小山町-神奈川県足柄上郡山北町境,00dc143c
,3521.3109,13857.4497
,3521.3295,13857.4590
,3521.3352,13857.4626
,3521.3453,13857.4704
,3521.3600,13857.4848
,3521.3736,13857.5092
,3521.3778,13857.5202
,3521.3760,13857.5245
,3521.3685,13857.5332
,3521.3678,13857.5502
,3521.3568,13857.6267
,3521.3571,13857.6442
,3521.3600,13857.6663
,3521.3735,13857.7120
,3521.3802,13857.7285
,3521.3845,13857.7525
,3521.3877,13857.7651
,3521.4001,13857.8038
,3521.4040,13857.8234
,3521.4036,13857.8378
,3521.4023,13857.8504
,3521.3990,13857.8595
,3521.3937,13857.8695
,3521.3852,13857.8844
,3521.3753,13857.9013
,3521.3703,13857.9153
,3521.3685,13857.9287
,3521.3682,13857.9462
,3521.3714,13857.9613
,3521.3763,13857.9757
,3521.3895,13857.9922
,3521.3934,13857.9997
,3521.3962,13858.0114
,3521.4012,13858.0876
,3521.4036,13858.0932
,3521.4047,13858.1172
,3521.4033,13858.1332
,3521.4058,13858.1493
,3521.4108,13858.1655
,3521.4153,13858.1759
,3521.4200,13858.1846
,3521.4462,13858.2198
,3521.4544,13858.2333
,3521.4572,13858.2429
,3521.4615,13858.2542
,3521.4608,13858.3195
,3521.4615,13858.3465
,3521.4654,13858.3708
,3521.4739,13858.3817
,3521.4892,13858.4056
,3521.5041,13858.4182
,3521.5112,13858.4274
,3521.5261,13858.4396
,3521.5860,13858.4787
,3521.7092,13858.5571
,3521.7358,13858.5697
,3521.8618,13858.5906
,3521.8998,13858.5997
,3521.9381,13858.6176
,3521.9530,13858.6271
,3521.9690,13858.6380
,3521.9835,13858.6489
,3521.9927,13858.6584
,3522.0002,13858.6667
,3522.0243,13858.6998
,3522.0332,13858.7172
,3522.0410,13858.7355
,3522.0481,13858.7555
,3522.0552,13858.7824
,3522.0580,13858.8025
,3522.0605,13858.8260
,3522.0602,13858.8473
,3522.0584,13858.8712
,3522.0534,13858.8982
,3522.0396,13858.9605
,3522.0296,13859.0070
,3522.0181,13859.0601
,3522.0048,13859.1204
,3521.9956,13859.1591
,3521.9780,13859.2213
,3521.9666,13859.2564
,3521.9598,13859.2806
,3521.9453,13859.3365
,3521.9012,13859.5051
,3521.8896,13859.5484
,3521.8847,13859.5721
,3521.8845,13859.5850
,3521.8845,13859.6428
,3521.8946,13859.7874
,3521.8974,13859.8330
,3521.8970,13859.8477
,3521.8951,13859.8603
,3521.8905,13859.8701
,3521.8856,13859.8799
,3521.8787,13859.8883
,3521.8677,13859.8976
,3521.8460,13859.9079
,3521.8198,13859.9195
,3521.8019,13859.9331
,3521.7954,13859.9396
,3521.7855,13859.9522
,3521.7795,13859.9615
,3521.7669,13859.9862
,3521.7422,13900.0380
,3521.7216,13900.0818
,3521.7050,13900.1117
,3521.6817,13900.1415
,3521.6357,13900.1877
,3521.6216,13900.2031
,3521.5775,13900.2889
,3521.5019,13900.3910
,3521.4840,13900.4195
,3521.4797,13900.4374
,3521.4779,13900.4534
,3521.4809,13900.4858
,3521.4807,13900.4883
,3521.4984,13900.5364
,3521.5218,13900.5845
,3521.5402,13900.6260
,3521.5532,13900.6675
,3521.5724,13900.7115
,3521.5619,13900.7212
,3521.5414,13900.6742
,3521.5256,13900.6259
,3521.4805,13900.5280
,3521.4746,13900.5128
,3521.4696,13900.4974
,3521.4666,13900.4878
,3521.4651,13900.4757
,3521.4646,13900.4658
,3521.4654,13900.4413
,3521.4730,13900.4206
,3521.4908,13900.3895
,3521.4996,13900.3765
,3521.5422,13900.3228
,3521.5695,13900.2829
,3521.6148,13900.1965
,3521.6275,13900.1830
,3521.6764,13900.1319
,3521.6989,13900.1042
,3521.7134,13900.0792
,3521.7363,13900.0303
,3521.7656,13859.9672
,3521.7801,13859.9386
,3521.7932,13859.9245
,3521.8052,13859.9157
,3521.8191,13859.9073
,3521.8307,13859.9026
,3521.8460,13859.8990
,3521.8604,13859.8906
,3521.8719,13859.8828
,3521.8817,13859.8698
,3521.8876,13859.8484
,3521.8905,13859.8297
,3521.8884,13859.8156
,3521.8808,13859.7457
,3521.8791,13859.7072
,3521.8765,13859.6082
,3521.8770,13859.6004
,3521.8785,13859.5807
,3521.8801,13859.5658
,3521.8871,13859.5383
,3521.8962,13859.5051
,3521.9401,13859.3362
,3521.9595,13859.2612
,3521.9741,13859.2189
,3521.9868,13859.1738
,3521.9954,13859.1439
,3522.0164,13859.0453
,3522.0186,13859.0202
,3522.0244,13859.0067
,3522.0371,13858.9480
,3522.0426,13858.9229
,3522.0482,13858.8931
,3522.0526,13858.8714
,3522.0551,13858.8446
,3522.0546,13858.8252
,3522.0532,13858.8052
,3522.0498,13858.7886
,3522.0452,13858.7679
,3522.0419,13858.7561
,3522.0363,13858.7401
,3522.0297,13858.7232
,3522.0266,13858.7154
,3522.0087,13858.6883
,3522.0037,13858.6835
,3521.9970,13858.6727
,3521.9891,13858.6635
,3521.9783,13858.6530
,3521.9675,13858.6446
,3521.9511,13858.6327
,3521.9249,13858.6177
,3521.9064,13858.6089
,3521.8881,13858.6032
,3521.8718,13858.5988
,3521.8574,13858.5964
,3521.7386,13858.5778
,3521.7336,13858.5754
,3521.7181,13858.5696
,3521.7076,13858.5635
,3521.5848,13858.4856
,3521.5002,13858.4296
,3521.4878,13858.4208
,3521.4789,13858.4092
,3521.4731,13858.3998
,3521.4659,13858.3858
,3521.4599,13858.3730
,3521.4573,13858.3564
,3521.4554,13858.3381
,3521.4554,13858.3180
,3521.4568,13858.2675
,3521.4554,13858.2570
,3521.4521,13858.2441
,3521.4479,13858.2333
,3521.4416,13858.2241
,3521.4228,13858.1997
,3521.4109,13858.1797
,3521.4037,13858.1624
