国道413号 旭日丘-平野（山中湖周辺）,00dc143c
,3524.4579,13852.5635
,3524.4612,13852.5834
,3524.4632,13852.6005
,3524.4657,13852.6180
,3524.4668,13852.6368
,3524.4668,13852.6659
,3524.4668,13852.7141
,3524.4669,13852.7254
,3524.4688,13852.7531
,3524.4749,13852.8157
,3524.4793,13852.8490
,3524.4860,13852.9027
,3524.4934,13852.9615
,3524.4967,13852.9815
,3524.5020,13853.0028
,3524.5170,13853.0496
,3524.5287,13853.0755
,3524.5494,13853.1157
,3524.5617,13853.1405
,3524.5825,13853.1830
,3524.6183,13853.2216
,3524.6394,13853.2435
,3524.6819,13853.3218
,3524.7110,13853.3756
,3524.7363,13853.4226
,3524.7812,13853.5038
,3524.8024,13853.5405
,3524.8134,13853.5656
,3524.8547,13853.6850
,3524.8940,13853.7840
,3524.9033,13853.8038
,3524.9085,13853.8178
,3524.9296,13853.9010
,3524.9381,13853.9356
,3524.9568,13854.0044
,3524.9658,13854.0736
,3524.9732,13854.0894
,3525.0423,13854.1770
,3525.0555,13854.1887
,3525.0855,13854.1954
,3525.1575,13854.2047
,3525.1691,13854.2078
,3525.2842,13854.2268
,3525.4125,13854.2488
,3525.5462,13854.2704
,3525.5568,13854.2649
,3525.5638,13854.2559
,3525.5690,13854.2465
,3525.5705,13854.2428
,3525.5741,13854.2313
,3525.5826,13854.2086
,3525.5868,13854.2101
,3525.5851,13854.2157
,3525.5793,13854.2317
,3525.5737,13854.2473
,3525.5676,13854.2590
,3525.5600,13854.2695
,3525.5529,13854.2753
,3525.5473,13854.2775
,3525.5443,13854.2773
,3525.5039,13854.2707
,3525.4369,13854.2605
,3525.3442,13854.2440
,3525.2576,13854.2299
,3525.1604,13854.2134
,3525.0884,13854.2028
,3525.0531,13854.1949
,3525.0394,13854.1828
,3524.9702,13854.0952
,3524.9607,13854.0770
,3524.9514,13854.0079
,3524.9293,13853.9254
,3524.9139,13853.8573
,3524.9033,13853.8181
,3524.8872,13853.7831
,3524.8545,13853.7033
,3524.8167,13853.5929
,3524.8088,13853.5682
,3524.7996,13853.5472
,3524.7556,13853.4682
,3524.7046,13853.3757
,3524.6365,13853.2509
,3524.5799,13853.1890
,3524.5432,13853.1138
,3524.5135,13853.0522
,3524.4970,13853.0051
,3524.4883,13852.9645
,3524.4636,13852.7514
,3524.4614,13852.7088
,3524.4614,13852.6221
,3524.4566,13852.5840
,3524.4530,13852.5651
