国道413号 山中湖平野 - 道志村界,00dc143c
,3525.5883,13854.2088
,3525.6036,13854.2180
,3525.6329,13854.2208
,3525.6871,13854.2209
,3525.6919,13854.2217
,3525.7335,13854.2225
,3525.7404,13854.2241
,3525.7466,13854.2256
,3525.8216,13854.2713
,3525.8268,13854.2770
,3525.8319,13854.2836
,3525.9431,13854.4469
,3525.9775,13854.4986
,3525.9950,13854.5352
,3526.0135,13854.5775
,3526.0256,13854.6027
,3526.0371,13854.6295
,3526.0689,13854.7432
,3526.1188,13854.8432
,3526.1493,13854.8905
,3526.2387,13854.9870
,3526.2732,13855.0500
,3526.3076,13855.1121
,3526.3248,13855.1430
,3526.3420,13855.1682
,3526.4257,13855.2593
,3526.4619,13855.3031
,3526.5141,13855.3810
,3526.5613,13855.4463
,3526.5909,13855.4881
,3526.6152,13855.5156
,3526.7159,13855.6193
,3526.7421,13855.6404
,3526.7688,13855.6505
,3526.7827,13855.6575
,3526.7930,13855.6651
,3526.8067,13855.6801
,3526.8325,13855.7142
,3526.8429,13855.7227
,3526.9017,13855.7629
,3526.9245,13855.7632
,3526.9290,13855.7620
,3526.9349,13855.7586
,3526.9550,13855.7178
,3526.9682,13855.7203
,3526.9724,13855.7251
,3526.9746,13855.7340
,3526.9719,13855.7464
,3526.9742,13855.7559
,3526.9796,13855.7626
,3526.9898,13855.7716
,3527.0012,13855.7841
,3527.0164,13855.8054
,3527.0322,13855.8289
,3527.0401,13855.8335
,3527.0672,13855.8268
,3527.0738,13855.8228
,3527.0858,13855.8079
,3527.0913,13855.8059
,3527.0971,13855.8064
,3527.1079,13855.8130
,3527.1432,13855.8666
,3527.1374,13855.8718
,3527.1050,13855.8202
,3527.0958,13855.8141
,3527.0892,13855.8151
,3527.0780,13855.8299
,3527.0688,13855.8345
,3527.0484,13855.8401
,3527.0393,13855.8417
,3527.0327,13855.8386
,3527.0264,13855.8345
,3527.0085,13855.8034
,3526.9973,13855.7881
,3526.9865,13855.7773
,3526.9732,13855.7661
,3526.9682,13855.7590
,3526.9665,13855.7467
,3526.9686,13855.7350
,3526.9661,13855.7273
,3526.9574,13855.7253
,3526.9445,13855.7539
,3526.9379,13855.7641
,3526.9295,13855.7697
,3526.9000,13855.7712
,3526.8297,13855.7207
,3526.7928,13855.6727
,3526.7396,13855.6482
,3526.7105,13855.6248
,3526.6185,13855.5298
,3526.5870,13855.4936
,3526.4580,13855.3089
,3526.4202,13855.2624
,3526.3391,13855.1746
,3526.3188,13855.1435
,3526.2348,13854.9930
,3526.1454,13854.8960
,3526.1329,13854.8797
,3526.1117,13854.8414
,3526.0655,13854.7521
,3526.0482,13854.6954
,3526.0309,13854.6310
,3525.9727,13854.5023
,3525.8227,13854.2815
,3525.7403,13854.2313
,3525.6025,13854.2271
,3525.5856,13854.2185
