国道463 新大宮バイパス- 富士見,00dc143c
,3552.1399,13937.1916
,3552.0330,13936.8133
,3551.8895,13936.3135
,3551.8754,13936.2791
,3551.8638,13936.2575
,3551.7144,13936.0271
,3551.5860,13935.8026
,3551.2558,13935.2780
,3551.2147,13935.2130
,3551.0383,13934.9330
,3550.9432,13934.7539
,3550.8830,13934.6425
,3550.7678,13934.4697
,3550.7794,13934.4550
,3550.8291,13934.5311
,3550.8888,13934.6236
,3550.9221,13934.6824
,3551.0578,13934.9351
,3551.1413,13935.0701
,3551.2299,13935.2103
,3551.4209,13935.5170
,3551.5944,13935.7911
,3551.7233,13936.0171
,3551.8745,13936.2568
,3551.8920,13936.2952
,3551.9306,13936.4210
,3552.0428,13936.8107
,3552.1503,13937.1860
