国道463号 富士見 - 英IC,00dc143c
,3550.7678,13934.4697
,3550.7057,13934.3841
,3550.5627,13934.2097
,3550.5006,13934.1324
,3550.4777,13934.1067
,3550.2361,13933.8679
,3550.2011,13933.8247
,3550.0675,13933.6496
,3549.9251,13933.4591
,3549.8708,13933.3960
,3549.8040,13933.3297
,3549.7586,13933.2936
,3549.7064,13933.2595
,3549.3003,13933.0600
,3548.9474,13932.8881
,3548.9286,13932.8791
,3548.9078,13932.8623
,3548.8796,13932.8192
,3548.8519,13932.7729
,3548.8279,13932.7323
,3548.8107,13932.7021
,3548.7083,13932.5031
,3548.8237,13932.6879
,3548.8647,13932.7662
,3548.9005,13932.8293
,3548.9125,13932.8446
,3548.9252,13932.8563
,3549.0046,13932.8962
,3549.1514,13932.9685
,3549.5935,13933.1859
,3549.6982,13933.2397
,3549.7527,13933.2729
,3549.7946,13933.3039
,3549.8246,13933.3302
,3549.8473,13933.3487
,3549.8836,13933.3853
,3549.9213,13933.4288
,3549.9890,13933.5223
,3550.0410,13933.5886
,3550.1207,13933.6962
,3550.1730,13933.7672
,3550.2488,13933.8586
,3550.3476,13933.9585
,3550.4910,13934.0993
,3550.5633,13934.1854
,3550.7106,13934.3680
,3550.7794,13934.4550
