富士スピードウエイ・本コース,00bfbfbf
,3522.3243,13855.6276
,3522.3424,13855.6554
,3522.3612,13855.6845
,3522.3890,13855.7275
,3522.4132,13855.7639
,3522.4273,13855.7854
,3522.4359,13855.7979
,3522.4538,13855.8253
,3522.4805,13855.8660
,3522.4962,13855.8897
,3522.4992,13855.8945
,3522.5196,13855.9254
,3522.5401,13855.9560
,3522.5540,13855.9763
,3522.5650,13855.9928
,3522.5731,13856.0050
,3522.5747,13856.0086
,3522.5753,13856.0112
,3522.5753,13856.0148
,3522.5746,13856.0179
,3522.5735,13856.0206
,3522.5718,13856.0227
,3522.5699,13856.0245
,3522.5679,13856.0254
,3522.5658,13856.0258
,3522.5639,13856.0259
,3522.5612,13856.0257
,3522.5356,13856.0212
,3522.5138,13856.0177
,3522.5081,13856.0164
,3522.5049,13856.0155
,3522.5013,13856.0137
,3522.4959,13856.0105
,3522.4928,13856.0081
,3522.4865,13856.0021
,3522.4728,13855.9891
,3522.4589,13855.9753
,3522.4410,13855.9581
,3522.4207,13855.9388
,3522.4026,13855.9212
,3522.3878,13855.9072
,3522.3758,13855.8955
,3522.3616,13855.8821
,3522.3423,13855.8635
,3522.3372,13855.8583
,3522.3347,13855.8565
,3522.3317,13855.8549
,3522.3284,13855.8541
,3522.3250,13855.8541
,3522.3215,13855.8545
,3522.3177,13855.8552
,3522.3144,13855.8562
,3522.3108,13855.8574
,3522.3080,13855.8589
,3522.3057,13855.8601
,3522.2969,13855.8657
,3522.2910,13855.8693
,3522.2838,13855.8739
,3522.2754,13855.8792
,3522.2667,13855.8847
,3522.2643,13855.8864
,3522.2621,13855.8879
,3522.2592,13855.8893
,3522.2546,13855.8918
,3522.2495,13855.8941
,3522.2453,13855.8957
,3522.2411,13855.8969
,3522.2358,13855.8982
,3522.2317,13855.8987
,3522.2271,13855.8994
,3522.2225,13855.8997
,3522.2182,13855.8996
,3522.2132,13855.8994
,3522.2091,13855.8988
,3522.2052,13855.8980
,3522.2005,13855.8972
,3522.1944,13855.8951
,3522.1881,13855.8924
,3522.1851,13855.8912
,3522.1787,13855.8871
,3522.1737,13855.8834
,3522.1674,13855.8768
,3522.1626,13855.8700
,3522.1593,13855.8637
,3522.1557,13855.8556
,3522.1526,13855.8466
,3522.1499,13855.8381
,3522.1478,13855.8295
,3522.1461,13855.8210
,3522.1457,13855.8133
,3522.1460,13855.8066
,3522.1471,13855.7992
,3522.1492,13855.7911
,3522.1519,13855.7842
,3522.1547,13855.7790
,3522.1578,13855.7741
,3522.1614,13855.7698
,3522.1642,13855.7668
,3522.1874,13855.7457
,3522.2213,13855.7151
,3522.2327,13855.7052
,3522.2348,13855.7022
,3522.2374,13855.6976
,3522.2391,13855.6921
,3522.2399,13855.6865
,3522.2395,13855.6794
,3522.2375,13855.6738
,3522.2341,13855.6684
,3522.2304,13855.6656
,3522.2243,13855.6607
,3522.2171,13855.6561
,3522.2110,13855.6528
,3522.2045,13855.6500
,3522.1967,13855.6479
,3522.1883,13855.6462
,3522.1802,13855.6456
,3522.1735,13855.6455
,3522.1676,13855.6462
,3522.1441,13855.6501
,3522.1059,13855.6566
,3522.0979,13855.6576
,3522.0915,13855.6576
,3522.0870,13855.6575
,3522.0801,13855.6561
,3522.0727,13855.6536
,3522.0647,13855.6493
,3522.0323,13855.6297
,3521.9969,13855.6080
,3521.9887,13855.6012
,3521.9822,13855.5957
,3521.9735,13855.5865
,3521.9656,13855.5764
,3521.9624,13855.5726
,3521.9580,13855.5650
,3521.9400,13855.5348
,3521.8891,13855.4478
,3521.8859,13855.4425
,3521.8857,13855.4386
,3521.8874,13855.4362
,3521.8887,13855.4353
,3521.8941,13855.4353
,3521.9064,13855.4355
,3521.9099,13855.4346
,3521.9135,13855.4327
,3521.9175,13855.4292
,3521.9207,13855.4251
,3521.9227,13855.4209
,3521.9237,13855.4161
,3521.9237,13855.4126
,3521.9232,13855.4074
,3521.9203,13855.3983
,3521.9185,13855.3920
,3521.9180,13855.3872
,3521.9180,13855.3817
,3521.9185,13855.3770
,3521.9198,13855.3713
,3521.9225,13855.3633
,3521.9271,13855.3534
,3521.9311,13855.3452
,3521.9364,13855.3357
,3521.9432,13855.3255
,3521.9479,13855.3194
,3521.9540,13855.3122
,3521.9581,13855.3083
,3521.9628,13855.3057
,3521.9685,13855.3046
,3521.9735,13855.3053
,3521.9782,13855.3074
,3521.9826,13855.3110
,3521.9858,13855.3154
,3521.9873,13855.3189
,3521.9895,13855.3260
,3521.9936,13855.3376
,3521.9985,13855.3480
,3522.0044,13855.3582
,3522.0117,13855.3669
,3522.0186,13855.3728
,3522.0257,13855.3770
,3522.0345,13855.3799
,3522.0405,13855.3809
,3522.0477,13855.3810
,3522.0543,13855.3798
,3522.0606,13855.3777
,3522.0659,13855.3751
,3522.0710,13855.3716
,3522.0752,13855.3680
,3522.0791,13855.3642
,3522.0820,13855.3606
,3522.0840,13855.3577
,3522.0857,13855.3534
,3522.0867,13855.3490
,3522.0870,13855.3447
,3522.0863,13855.3397
,3522.0849,13855.3352
,3522.0820,13855.3308
,3522.0799,13855.3282
,3522.0624,13855.3098
,3522.0546,13855.3012
,3522.0488,13855.2937
,3522.0453,13855.2892
,3522.0398,13855.2813
,3522.0346,13855.2721
,3522.0299,13855.2613
,3522.0267,13855.2525
,3522.0254,13855.2449
,3522.0252,13855.2362
