国道１号 日本橋-赤羽橋,00dc143c
,3541.0718,13946.4652
,3541.0670,13946.4658
,3541.0315,13946.4563
,3541.0282,13946.4514
,3541.0055,13946.4446
,3540.9655,13946.4195
,3540.9646,13946.4142
,3541.0182,13946.2778
,3541.0283,13946.2469
,3541.0693,13946.0633
,3541.0946,13945.9460
,3541.1293,13945.7800
,3540.9371,13945.7248
,3540.7139,13945.6484
,3540.5271,13945.5812
,3540.5256,13945.5728
,3540.5393,13945.5332
,3540.5849,13945.4238
,3540.6065,13945.3718
,3540.6818,13945.1923
,3540.6384,13945.1736
,3540.3743,13945.0069
,3540.3027,13944.9798
,3540.2676,13944.9618
,3540.2551,13944.9644
,3540.1719,13944.9206
,3540.1292,13944.8939
,3540.0165,13944.8433
,3539.8733,13944.7805
,3539.7138,13944.6322
,3539.6809,13944.6060
,3539.6487,13944.5839
,3539.6281,13944.5735
,3539.6072,13944.5669
,3539.5932,13944.5642
,3539.5595,13944.5660
,3539.4185,13944.6433
,3539.3664,13944.6770
,3539.3319,13944.6946
,3539.3104,13944.6973
,3539.2782,13944.7032
,3539.2760,13944.7223
,3539.3148,13944.7235
,3539.3283,13944.7208
,3539.3681,13944.7044
,3539.3899,13944.6832
,3539.4289,13944.6594
,3539.5134,13944.6131
,3539.5287,13944.6081
,3539.5614,13944.5908
,3539.6024,13944.5878
,3539.6218,13944.5935
,3539.6569,13944.6122
,3539.7313,13944.6698
,3539.8624,13944.7945
,3540.1248,13944.9105
,3540.2709,13944.9994
,3540.3630,13945.0328
,3540.4035,13945.0566
,3540.6383,13945.2098
,3540.6428,13945.2292
,3540.5053,13945.5482
,3540.4814,13945.5809
,3540.5016,13945.5994
,3540.7082,13945.6705
,3540.9312,13945.7438
,3541.1033,13945.7987
,3541.0110,13946.2353
,3541.0007,13946.2699
,3540.9402,13946.4234
,3541.0265,13946.4746
,3541.0674,13946.4849
