国道１号 赤羽橋-多摩川,00dc143c
,3539.2782,13944.7032
,3539.2736,13944.7027
,3539.2732,13944.7007
,3539.2605,13944.6983
,3539.2397,13944.6962
,3539.1184,13944.6882
,3539.1103,13944.6926
,3539.0727,13944.6887
,3539.0697,13944.6871
,3538.8960,13944.6664
,3538.8862,13944.6566
,3538.8833,13944.5211
,3538.8822,13944.4532
,3538.7448,13944.3581
,3538.6363,13944.1669
,3538.5989,13944.0839
,3538.5882,13944.0401
,3538.4346,13943.9580
,3538.3917,13943.9329
,3538.3623,13943.9131
,3538.3283,13943.8990
,3538.2822,13943.8922
,3538.1588,13943.8703
,3538.0452,13943.8539
,3537.9453,13943.8391
,3537.9165,13943.8220
,3537.8747,13943.7625
,3537.8318,13943.7110
,3537.7773,13943.6157
,3537.7706,13943.6064
,3537.7062,13943.5375
,3537.7049,13943.5310
,3537.6564,13943.4770
,3537.6413,13943.4541
,3537.6156,13943.4100
,3537.6039,13943.3991
,3537.5835,13943.3679
,3537.5456,13943.3102
,3537.5325,13943.2971
,3537.5204,13943.2894
,3537.4539,13943.2552
,3537.4260,13943.2443
,3537.3043,13943.1877
,3537.2593,13943.1577
,3537.2292,13943.1490
,3537.1633,13943.1117
,3537.1484,13943.1077
,3537.1329,13943.0908
,3536.9898,13943.0243
,3536.9210,13942.9933
,3536.8743,13942.9742
,3536.8350,13942.9596
,3536.6951,13942.9081
,3536.5640,13942.8602
,3536.3981,13942.8260
,3536.2716,13942.8006
,3536.0454,13942.7548
,3535.9133,13942.7284
,3535.8753,13942.7206
,3535.7460,13942.6942
,3535.6749,13942.6804
,3535.6500,13942.6711
,3535.6019,13942.6447
,3535.5613,13942.6147
,3535.3830,13942.4770
,3535.2671,13942.3894
,3535.1192,13942.2761
,3534.9833,13942.1725
,3534.9035,13942.1126
,3534.8407,13942.0795
,3534.6865,13942.0028
,3534.4998,13941.9073
,3534.2980,13941.8049
,3534.2378,13941.7747
,3534.1851,13941.7608
,3534.1679,13941.7586
,3534.1331,13941.7586
,3533.9624,13941.7789
,3533.9469,13941.7817
,3533.8995,13941.7843
,3533.8890,13941.7875
,3533.6013,13941.8219
,3533.5767,13941.8219
,3533.5500,13941.8188
,3533.4350,13941.7827
,3533.3808,13941.7657
,3533.3787,13941.7818
,3533.5518,13941.8365
,3533.6031,13941.8378
,3533.9330,13941.8005
,3534.1446,13941.7747
,3534.1770,13941.7760
,3534.2325,13941.7915
,3534.3498,13941.8507
,3534.6755,13942.0168
,3534.8922,13942.1249
,3535.0598,13942.2485
,3535.5927,13942.6592
,3535.6440,13942.6875
,3535.7016,13942.7017
,3536.1057,13942.7802
,3536.5622,13942.8772
,3536.9617,13943.0327
,3537.2711,13943.1926
,3537.4443,13943.2778
,3537.5107,13943.3120
,3537.5272,13943.3255
,3537.5929,13943.4224
,3537.6110,13943.4629
,3537.6384,13943.4938
,3537.6690,13943.5283
,3537.6753,13943.5389
,3537.7490,13943.6126
,3537.7691,13943.6400
,3537.8118,13943.7199
,3537.8685,13943.7874
,3537.9209,13943.8660
,3537.9439,13943.8624
,3538.1490,13943.8927
,3538.3195,13943.9222
,3538.3365,13943.9283
,3538.3815,13943.9560
,3538.4886,13944.0155
,3538.5642,13944.0557
,3538.5754,13944.0661
,3538.6243,13944.1765
,3538.6835,13944.2733
,3538.7345,13944.3709
,3538.8642,13944.4596
,3538.8683,13944.4680
,3538.8720,13944.6823
,3539.1143,13944.7117
,3539.1489,13944.7117
,3539.2760,13944.7223
